Unnamed: 0,brand,model,price,engine,year,mileage,fuel,gearbox,location,car_age,price_per_km,brand_classification,log_price,log_mileage
238,Kia,Sportage,13990,1.6 GDi 132CV Emotion 4x2,2016,137000,Gasolina,Manual,Gavá,9,0.10211678832116788,economy,9.546169544733285,11.827743504053695
240,Hyundai,i30,11490,1.0 TGDI Klass LE,2017,65000,Gasolina,Manual,Badalona,8,0.17676923076923076,economy,9.349319399257633,11.082157933374816
241,Peugeot,208,11990,5P Signature 1.2L PureTech 60KW (82CV),2018,17600,Gasolina,Manual,Badalona,7,0.68125,economy,9.391911647379432,9.775710997593968
242,Peugeot,208,6990,3P ALLURE 1.2 VTi 82,2012,102762,Gasolina,Manual,Badalona,13,0.06802125299235126,economy,8.852378886511985,11.54018064503668
244,Porsche,Cayenne,28380,3.0 TD Tiptronic,2013,122000,Diésel,Automatica,Sabadell 1,12,0.23262295081967213,performance,10.253475186175004,11.711784520403112
245,Audi,A3,25330,S line 35 TFSI 110kW (150CV) Sedan,2019,63500,Gasolina,Automatica,Sabadell 1,6,0.3988976377952756,luxury,10.13978422109525,11.05881093278828
246,Toyota,Auris,10880,90D Active Touring Sports,2014,122800,Diésel,Manual,Sabadell 1,11,0.08859934853420195,economy,9.294773427951013,11.718320437984497
247,Peugeot,3008,21490,1.5L BlueHDi 96kW (130CV) S&S Allure,2018,93380,Diésel,Automatica,Sabadell 2,7,0.23013493253373313,economy,9.975389521825205,11.444443177398837
248,Audi,A1,12990,S LINE ,2015,85700,Gasolina,Manual,Sabadell 2,10,0.1515752625437573,luxury,9.472012088995733,11.358619773129229
249,SEAT,Ibiza,11990,1.2 TSI 105cv FR,2015,56455,Gasolina,Manual,Mataró,10,0.21238154282171642,economy,9.391911647379432,10.941216852680666
251,Audi,A1,15490,1.6 TDI Attraction,2016,113000,Diésel,Manual,Granollers,9,0.13707964601769912,luxury,9.648014489106362,11.635151947212842
252,Kia,Picanto,8680,1.0 CVVT 49kW (66CV) Tech,2017,65600,Gasolina,Manual,Sabadell 1,8,0.1323170731707317,economy,9.068892008391808,11.091346218718432
254,Renault,Captur,21990,Zen+ TCe 96kW (130CV) EDC,2020,3300,Gasolina,Automatica,Granollers,5,6.663636363636364,economy,9.998388557730847,8.101980731853192
258,Ford,Ka+,10490,1.2 Ti-VCT 63kW Active,2019,40843,Gasolina,Manual,Esplugas,6,0.2568371569179541,economy,9.258273025731485,10.617515210675428
262,Opel,Crossland X,15490,1.2 96kW (130CV) Innovation S/S,2019,66500,Gasolina,Manual,Hospitalet,6,0.23293233082706766,economy,9.648014489106362,11.104972264124866
263,BMW,Serie 3,16990,318d Touring,2016,132450,Diésel,Manual,Hospitalet,9,0.1282748206870517,luxury,9.740439071085758,11.793968044690589
264,SEAT,Ibiza,9290,1.0 EcoTSI 95cv Style Connect,2015,122800,Gasolina,Manual,Sabadell 2,10,0.0756514657980456,economy,9.136801468641313,11.718320437984497
266,Peugeot,308,14990,5p Allure 2.0 BlueHDi 110KW (150CV),2017,88300,Diésel,Automatica,Sabadell 2,8,0.169762174405436,economy,9.615205300012315,11.388506711556236
269,Toyota,Yaris,11990,1.0 70 Active,2019,28392,Gasolina,Manual,Mataró,6,0.42230205691744155,economy,9.391911647379432,10.253897914895148
271,Ford,Tourneo Courier,10990,1.6 TDCi 95cv Trend,2015,121846,Diésel,Manual,Mataró,10,0.09019582095431938,economy,9.3048320350689,11.710521438315302
273,Kia,Carens,13990,1.7 CRDi VGT 104kW(115CV) Drive Eco-Dyn,2016,62900,Diésel,Manual,Hospitalet,9,0.22241653418124005,economy,9.546169544733285,11.049317340813348
275,Peugeot,208,10990,5P STYLE 1.6 BlueHDi 73KW (100CV),2017,58323,Diésel,Manual,Gavá,8,0.18843337962724827,economy,9.3048320350689,10.973768951436176
276,Peugeot,308,12990,5p Access 1.6 BlueHDi 73KW (100CV),2018,82172,Diésel,Manual,Gavá,7,0.15808304531957357,economy,9.472012088995733,11.316582059933834
277,SEAT,Arona,14990,1.0 TSI 70kW (95CV) Style Ecomotive,2018,81533,Gasolina,Manual,Gavá,7,0.18385193725240087,economy,9.615205300012315,11.308775390148552
278,Toyota,C-HR,19990,1.8 125H Advance,2018,51520,Híbrido,Automatica,Gavá,7,0.3880046583850932,economy,9.903037451255743,10.849744770527753
279,Volkswagen,Passat CC,16990,2.0 TDI 140cv DSG BlueMotion Technology,2015,140927,Diésel,Automatica,Viladecans,10,0.12055887090479468,economy,9.740439071085758,11.856004400642297
281,Ford,Fiesta,8990,1.25 Duratec 82cv Trend 5p,2016,64175,Gasolina,Manual,Viladecans,9,0.14008570315543437,economy,9.103979355984773,11.069384588009834
282,Audi,A5,15490,Coupé 2.0 TDI 177 multitronic,2014,179383,Diésel,Automatica,Viladecans,11,0.0863515494779327,luxury,9.648014489106362,12.097284038453367
